X,Y,OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL
2520840.558,2392193.725,1,T20150013821,ABS to receive accident,Finished,1/07/2015 0:00,7:00:00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dusk/Dawn,Yes,Not at intersection,Serious injury accident,100 km/hr,No,291566,145.2372195,-37.97120886,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2520840.558,2392193.725,4,1,0,1,0,3,2,2,0,0,4,0,0,0,0,0,0,0,0,2,No,0,4,0,4,0,0,MELB_URBAN,MELB_URBAN,CASEY
2504288.532,2414678.239,45,T20150013830,ABS to receive accident,Finished,1/07/2015 0:00,7:50:00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,Cross intersection,Serious injury accident,50 km/hr,No,38161,145.048677,-37.76885321,Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2504288.532,2414678.239,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BANYULE
2509339.447,2400450.255,473,T20150014893,ABS to receive accident,Finished,1/07/2015 0:00,8:00:00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dusk/Dawn,No,Cross intersection,Other injury accident,60 km/hr,No,41639,145.1062211,-37.89682165,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2509339.447,2400450.255,3,1,0,0,1,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,MONASH
2512523.609,2399626.536,49,T20150013883,ABS to receive accident,Finished,1/07/2015 0:00,9:20:00,No,Collision with vehicle,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Unk.,Yes,T intersection,Other injury accident,70 km/hr,No,41743,145.1424101,-37.90441116,Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2512523.609,2399626.536,3,1,0,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,2,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MONASH
2474395.793,2435770.75,9,T20150013836,ABS to receive accident,Finished,1/07/2015 0:00,9:45:00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,No,43662,144.7102594,-37.57848211,Intersection,HUME,METROPOLITAN NORTH WEST REGION,2474395.793,2435770.75,2,1,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,SMALL_CITIES,SMALL_CITIES,HUME
2498954.468,2412956.946,44,T20150013827,ABS to receive accident,Finished,1/07/2015 0:00,9:50:00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,37854,144.9881302,-37.78437161,Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2498954.468,2412956.946,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA
2526250.022,2381737.187,2,T20150013832,ABS to receive accident,Finished,1/07/2015 0:00,9:55:00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,No,35737,145.2989113,-38.06527724,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2526250.022,2381737.187,2,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,0,1,0,1,MELB_URBAN,MELB_URBAN,CASEY
2497184.595,2407002.593,8,T20150013829,ABS to receive accident,Finished,1/07/2015 0:00,10:10:00,No,Collision with vehicle,Wednesday,LEFT TURN SIDESWIPE,No,Day,Yes,T intersection,Other injury accident,50 km/hr,No,291879,144.9680168,-37.83801186,Non-Intersection,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2497184.595,2407002.593,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP
2145012.481,2430126.022,21,T20150013914,Non ABS accident,Private Property,1/07/2015 0:00,10:30:00,No,Collision with a fixed object,Wednesday,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,No,Day,No,Unknown,Other injury accident,Camping grounds or off road,No,291349,140.980516,-37.56213421,Off Road,GLENELG,SOUTH WESTERN REGION,2145012.481,2430126.022,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,GLENELG
2474391.955,2403749.396,15,T20150013850,Non ABS accident,Private Property,1/07/2015 0:00,10:41:00,No,Collision with a fixed object,Wednesday,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,No,Day,No,Private property,Serious injury accident,Camping grounds or off road,No,291404,144.7089553,-37.86690555,Off Road,WYNDHAM,METROPOLITAN NORTH WEST REGION,2474391.955,2403749.396,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,WYNDHAM
2729723.506,2405971.589,20,T20150013888,ABS to receive accident,Finished,1/07/2015 0:00,11:15:00,No,Collision with a fixed object,Wednesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Unk.,Yes,Not at intersection,Other injury accident,50 km/hr,Yes,291280,147.6095264,-37.81894471,Non-Intersection,EAST GIPPSLAND,EASTERN REGION,2729723.506,2405971.589,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,SMALL_CITIES,SMALL_CITIES,EAST GIPPSLAND
2498785.388,2412867.895,38,T20150013833,ABS to receive accident,Finished,1/07/2015 0:00,11:30:00,No,Collision with vehicle,Wednesday,LEFT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,50 km/hr,No,49057,144.9862106,-37.78517376,Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2498785.388,2412867.895,2,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA
2507053.522,2427188.691,32,T20150013844,ABS to receive accident,Finished,1/07/2015 0:00,11:30:00,No,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Cross intersection,Other injury accident,80 km/hr,Yes,226603,145.0799938,-37.65605189,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2507053.522,2427188.691,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,WHITTLESEA
2249961.057,2529018.237,46,T20150013835,ABS to receive accident,Finished,1/07/2015 0:00,12:15:00,No,Collision with vehicle,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,22431,142.2008295,-36.70533847,Intersection,HORSHAM,WESTERN REGION,2249961.057,2529018.237,3,1,0,0,1,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,SMALL_CITIES,SMALL_CITIES,HORSHAM
